penulis,judul,tahun,deskripsi,tautan,kata_kunci
mohamad ade bagus anugerah,sistem pakar diagnosa awal penyakit lambung menggunakan metode cosine similarity berbasis web,2023,"Penyakit lambung adalah salah satu masalah kesehatan yang umum di masyarakat.
Diagnosa awal yang tepat dan cepat sangat penting untuk pengobatan yang efektif. Dalam
rangka mencapai tujuan ini, kami mengembangkan Sistem Pakar Diagnosa Awal
Penyakit Lambung berbasis web yang menggunakan metode Cosine Similarity. Sistem ini
memanfaatkan teknologi web untuk memberikan layanan diagnosa yang mudah diakses
oleh pengguna secara online. Metode Cosine Similarity digunakan untuk membandingkan
gejala yang dipasukkan oleh pengguna dengan database gejala penyakit lambung yang
ada.",https://drive.google.com/file/d/1hLPmG_Km8YFukYx5kI5HWzDaB0REZi2B/view?usp=sharing,"sistem pakar, diagnosa awal, penyakit lambung, metode cosine
similarity."
gilang anugrah,"perancangan augmented reality world kids sebagai media pembelajaran bahasa inggris
menggunakan metode marker based tracking",2023,"Pembelajaran bahasa asing seperti Bahasa Inggris biasanya sudah mulai
diperkenalkan sejak anak berada di tingkat sekolah dasar (SD). Namun, tidak
sedikit anak-anak menganggap Bahasa Inggris adalah pelajaran yang sulit. Selain
itu media pembelajaran di sekolah hingga kini masih menggunakan metode yang
kurang up to date contohnya pembelajaran konvensional yang dianggap membuat
anak-anak mudah jenuh dan bosan. Salah satu solusinya yaitu dengan cara para
tenaga pengajar memanfaatkan perkembangan teknologi Augmented Reality (AR)
sebagai media pembelajaran yang menarik. Oleh karena itu pada penelitian ini akan
membuat perancangan Augmented Reality yang bernama World Kids sebagai media
pembelajaran Bahasa Inggris dengan menggunakan metode marker based tracking.
Setelah dilakukan pengujian marker based tracking total akurasi keberhasilannya
sebesar 100% pada jarak 30 cm dan hasil pengujian responden aplikasi World Kids
mendapatkan predikat ‘Sangat Baik’ dengan total 97,4%.",https://drive.google.com/file/d/12ddXfK0tmvHhIboNnqVbQ8wcIbKEiR7A/view?usp=sharing,"media pembelajaran; augmented reality; marker
based tracking; world kids."
tiara puspita arin,perancangan sistem aplikasi mathematic geometri game menggunakan metode finite state machine ,2023,"Penelitian ini dilakukan di SMPN 3 Tanggul, dikarenakan para siswa
mengalami kesulitan untuk memahami konsep atau materi dari pembelajaran
matematika geometri khususnya kelas VIII dengan ini peneliti membangun sebuah
media pembelajaran matematika geometri yang bertujuan untuk meningkatkan
minat belajar. Adanya game edukasi diharapkan dapat menjadi media pembelajaran
matematika yang tidak membosankan dan mudah dimengerti. Metodologi yang
digunakan dalam penelitian ini adalah Multimedia Development Life Cycle
(MDLC). Penelitian ini menggunakan metode Finite State Machine untuk membuat
musuh yang cerdas serta karakter lebih menarik dan seru dan permainan dibuat
menggunakan Construct 2. Hasil pengujian menggunakan Black Box dan kuisioner.
Pengujian Black Box dapat berjalan sesuai dengan keiinginan. Sedangan pengujian
kuisoner berdasarkan dengan kategori Skala Likert hasil yang didapat dari ahli
media dan ahli materi mendapat skor rata – rata 3,92 kategori baik dan 4,57
kategori sangat baik. Hasil pengujian siswa secara individu mendapatkankan hasil
antara 2,6 – 4,6 dengan kategori baik – sangat baik. Sedangakan pengujian secara
keseluruhan mendapatkan rata – rata 3,9 dengan kategori baik",https://drive.google.com/file/d/19TsROGJawEw1BewZR1-6ft7lzs7c1hVw/view?usp=sharing,"finite state machine, black box, matematika, game, construct 2."
"hariri achmad azari",optimasi klasifikasi gangguan autisme menggunakan boostrap aggregrating pada algoritma c4.5,2023,"Autisme merupakan gangguan pada perkembangan otak yang memengaruhi
kemampuan penderita dalam berkomunikasi dan berinteraksi dengan orang lain.
Di samping itu, autisme juga menyebabkan gangguan perilaku dan membatasi
minat penderitanya. Dikarenakan untuk mengidentifikasi autisme dibutuhkan
dokter spesialis yang jumlahnya tidak terlalu banyak dan waktu yang cenderung
lama, dengan mengklasifikasikan gejala-gejala penderita gangguan autisme maka
akan semakin cepat untuk untuk mengetahui gangguan yang dialami. Penelitian
pada dataset gangguan autisme pada anak penah dilalukan oleh (Sugara et al.,
2018). Akurasi adalah yang terpenting bagi pengklasifikasian dan ensemble
method adalah untuk meningkatkan akurasi. Dari hasil penelitian, penggunaan
teknik bagging. Setelah melakukan pengujian sebanyak 15 kali dengan
menggunakan teknik cross validation, diketahui hasil terbaik penggunaan teknik
bagging pada algoritma C4.5 yaitu K-fold ke-6 percobaan 3 dimana akurasi
tersebut mengalami peningkatan 11,33%. Dimana hasil akhir akurasi menjadi
83,33%. Sedangkan untuk presisinya terbagi menjadi 3 dimana nilai positif
gangguan `interaksi sosial memiliki hasil 61,54 meningkat sebanyak 38,56%
menjadi 100%, lalu jika nilai positif pada gangguan komunikasi sebesar 92,86
meningkat sebanyak 7,14% menjadi 100%, dan pada nilai positif gangguan
perilaku memiliki presisi 65,22 meningkat sebanyak 1,45% menjadi 66,67%.",https://drive.google.com/file/d/19xp2cSDUzsotu0EdJh7sppEhtrXQlmBN/view?usp=sharing,"gangguan autisme, algoritma c4.5, bagging."
alvian ananta bagaskara,"penerapan levenshtein distance terhadap support vector machine (svm) dalam analisis sentimen teks
studi kasus ulasan aplikasi dana",2023,"Google Play store merupakan sebuah aplikasi toko online penyedia
aplikasi, buku maupun musik pada danroid.. Google Play store
memberikan kebebasan memberi komentar, masukan maupun kritikan
oleh para pengguna kepada pihak developer aplikasi yang pengguna
konsumsi. Namun ada beberapa ulasan yang tidak sesuai dikarenakan
rating yang diberikan tidak sesuai dengan ulasan yang tertulis, yang
menyebabkan beberapa kebingungan atau keambiguan tentang hal mana
yang benar adanya. Maka dari itu dilakukanlah analisis sentimen
menggunakan Support Vector Machine (SVM). Namun masalah
berikutnya adalah penggunaan bahasa yang bebas tak dapat terelakkan
dalam pengulasan sebuah aplikasi. Banyak dari para pengguna yang
menyelipkan kata-kata tidak baku, penyingkatan kata, dan kesalahan ejaan
atau typo yang akhirnya lolos pada tahap preprocessing text. Maka dari itu
dilakukan normalisasi kata menggunakan Levenshtein distance, sehingga
dapat diketahui perbedaan hasil akurasi sebelum dan sesudah menerapkan
normalisasi kata menggunakan Levenshtein Distance. Tahapan klasifikasi
meliputi pengumpulan data sampel yang bersumber dari ulasan aplikasi
Dana pada penelitian in, pelabelan data, preprocessing text, penerapan
algoritma Levenshtein distance, TF-IDF, serta proses klasifikasi sentimen
menggunakan Support Vector Machine. Hasil pengujian dengan
menerapkan normaslisasi kata menggunakan Levenshtein Distance
menunjukkan peningkatan sebesar 2% yang awalnya memperoleh nilai
83% tanpa menggunakan Levenshtein Distance menjadi 85% setelah
menerapkan Levenshtein Distsnce.",https://drive.google.com/file/d/1eo3Fg3aW85fOnrUhfOwor2L0spmsGmOs/view?usp=sharing,"levenshtein distsnce. kata kunci : analisis sentimen, support vector machine, levenshtein
distance."
ginda ali ridho bestariyanto,implementasimetode multi attribute utility theory (maut) untuk sistem pendukung keputusan pada pembelian motor bekas,2023,"Sepeda motor salah satu alat transportasi yang banyak digunakan untuk menunjang
aktifitas sehari-hari. Tidak semua individu mampu membeli sepeda motor keluaran
terbaru. Sebagian memilih untuk membeli motor bekas. Akan tetapi, untuk
mendapatkan sepeda motor bekas yang berkualitas diperlukan kejelian dan
ketelitian dalam memilih sepeda motor bekas berdasarkan kriteria yang
dikehendaki. Ada kalanya individu membutuhkan jasa inspektor untuk memeriksa
kondisi sepeda motor bekas sesuai kriteria yang ditentukan. Pada penelitian ini,
digunakan metode Multi Attribute Utility Theory (MAUT) sebagai sistem
pendukung keputusan bagi pembeli motor bekas dengan sembilan kriteria sebagai
atribut. Sistem pendukung keputusan ini diharapkan mampu memperkecil
terjadinya human error saat pengecekan motor bekas agar calon pembeli benar-
benar mendapatkan motor bekas berkualitas. Hasil perhitungan dari dua puluh
pengguna menggunakan metode Multy Attribute Utility Theory (Maut) diperoleh
rekomendasi sepeda motor bekas tertinggi dari beberapa alternatif motor bekas
yang dipilih oleh pembeli.",https://drive.google.com/file/d/1HT6abDrICh_Ai7ymFZjibRRWrICFRrSV/view?usp=sharing,"sistem pendukung keputusan, multi attribute utility theory
(maut), sepeda motor bekas."
reni cahyaningtias,"evaluasi sistem informasi manajemen puskesmas (simpus) pada puskesmas ajung menggunakan cobit 4.1
domain po8, ds4 dan ds5
",2023,"Sistem Informasi Manajemen Puskesmas (SIMPUS) diaplikasikan pada Puskesmas
Ajung untuk pelayanan mulai dari pendaftaran pasien hingga pelayanan medis. Terdapat
beberapa ketidakteraturan dalam peraturan tersebut, sehingga diperlukan adanya sebuah
evaluasi dengan menggunakan COBIT 4.1 agar dapat mengetahui tingkat kapabilitas dari
tingkat kematanngan saat ini (as-is) sehingga dapat ditarik suatu kesimpulan. Metode
pengumpulan data primer dan sekunder digunakan dalam penelitian ini. Proses evaluasi
menggunakan Cobit 4.1 khususnya Domain PO (Domain Plan and Organize) dengan
proses PO8 (Oversee Quality), DS (Deliver and Suport) dengan proses DS4 (Ensure
Continuous Service), serta memanfaatkan proses DS5 (Ensure System Security). PO8
memiliki tingkat kematangan 2,11 dan DS4 memiliki tingkat kematangan 2,20, DS5
memiliki tingkat kematangan 2,14. ketinga proses tersebut berada pada level 2. Proses telah
dikembangkan pada tahap ini sehingga telah dilakukan prosedur yang sejenis untuk
kegiatan yang sama. Berdasarkan level yang diharapkan, dapat disimpulkan bahwa rata-
rata nilai yang diharapkan PO8, DS4 dan DS5 berada pada level 3.",https://drive.google.com/file/d/1UVl2eJV646-vOVIhsvfatMu2KKVhlnA3/view?usp=sharing,"sistem informasi manajemen puskesmas, framework cobit 4.1, maturity
level."
reza chaidir,implementasi metode modified k-nearest neighbor (mknn) untuk klasifikasi penerima dana bantuancovid-19,2023,"Bantuan Langsung Tunai (BLT) yaitu program bantuan pemerintah yang
pemberiannya dengan syarat dan tanpa syarat kepada masyarakat miskin dalam
bentuk uang tunai atau berbagai bantuan lainnya (Kemenko Kesra, 2009).
Bersamaan dengan itu, saat pandemi COVID-19 masuk ke Indonesia, BLT
kembali diluncurkan pada tahun 2020. Warga yang terkena dampak pandemi
Covid-19 bukan hanya masyarakat yang terkena dampak kesehatannya, tetapi
juga masyarakat yang terdampak ekonominya. Meskipun BLT Dana Desa di
Indonesia telah dialokasikan dengan tepat, masih terdapat kekurangan, salah
satunya adalah masalah sasaran penerima BLT Dana Desa yang belum optimal.
Seperti contohnya di Desa Andongsari, Kecamatan Ambulu, Kabupaten Jember.
Oleh karena itu, agar penerima BLT Dana Desa semakin tepat sasaran atau sesuai
kriteria, maka diperlukan alat atau metode untuk membantu permasalahan
tersebut, salah satu diantaranya ialah menggunakan metode klasifikasi Modified
K-Nearest Neighbor untuk dapat mengetahui tingkat akurasi, presisi, dan recall
pada penyaluran bantuan langsung tunai yang ada di desa Andongsari.
Berdasarkan hasil pengujian k yang telah dilakukan dari range 1-11 didapatkan
hasil k optimal di angka 3, dan nilai akurasi sebesar 94,92%, nilai presisi sebesar
90,48%, sedangkan nilai recall sebesar 95%.",https://drive.google.com/file/d/1kjPN8wS_csIhqJrvHskKbIJuRq7Z5x0f/view?usp=sharing,"covid-19, modified k-nearest neighbor, dana bansos, klasifikasi,
data mining."
umar dani,implementasi algoritma fuzzy c-means untuk pengelompokan tingkat  kesejahteraan di provinsi jawa timur,2023,"Keberhasilan pembangunan sebuah negara dapat diukur melalui tingkat
kesejahteraannya. Peningkatan kesejahteraan adalah bukti keberhasilan dari
rencana pembangunan setiap negara, termasuk Indonesia. Pembenahan dilakukan
di setiap provinsi Indonesia. Namun, perbedaan kandungan sumber daya, sumber
daya demografi, dan pembangunan di setiap wilayah menyebabkan perbedaan
tingkat kesejahteraan masyarakat yang bersangkutan, salah satunya dipengaruhi
oleh disparitas pembangunan di Provinsi Jawa Timur. Dalam hal ini, untuk
mengatasi ketimpangan kesejahteraan, diperlukan upaya untuk mengetahui tingkat
kesejahteraan suatu wilayah, kabupaten, atau kota. Pengelompokan dapat
digunakan untuk menentukan wilayah mana yang paling penting. Salah satu
metode untuk mengetahui cluster mana yang paling baik adalah dengan
menggunakan algoritma fuzzy c-means. Data yang digunakan terdiri dari 38
kabupaten/kota di Jawa Timur dari tahun 2018 hingga 2019. Berdasarkan
pengujian dari tiga hingga sepuluh cluster, tiga cluster dianggap sebagai cluster
terbaik dengan nilai partition coefficient index 0,531075. Cluster 1 memiliki 8
anggota kabupaten/kota, cluster 2 memiliki 13 anggota, dan cluster 3 memiliki 17
anggota.",https://drive.google.com/file/d/1lU0M_Znk8Z4oaauW6dyUxyz2rH6bNVx8/view?usp=sharing,"kesejahteraan, clustring, fuzzy c-means, partitionin coefficient
index."
tedi erwanto,"sentiment analysis tweet terhadap kebijakan kurikulum merdeka belajar pada media sosial twitter
menggunakan algoritma multivariate bernoulli",2023,"Merdeka Belajar merupakan kebijakan baru yang digagas oleh Kementerian
Pendidikan, Kebudayaan, Riset, dan Teknologi, menurutnya kebijakan tersebut
merupakan sebuah langkah untuk mengubah sistem pendidikan di Indonesia agar
Sumber Daya Manusia (SDM) di Indonesia menjadi unggul serta memiliki profil
Pelajar Pancasila. Upaya kebijakan tersebut tidak lepas dari dukungan serta
penolakan dari masyarakat. Berbagai macam upaya dukungan serta penolakan dari
masyarakat terkait kebijakan baru tersebut dituangkan dalam media sosial, salah
satunya Twitter. Penelitian ini bertujuan untuk mengetahui tingkat accuracy,
precision, serta recall dengan menggunakan algoritma Multivariate Bernoulli
dengan ekstraksi fitur TF-IDF. Hasil accuracy tertinggi sebesar 81,83%, di ikuti
precision sebesar 74,24%, dan recall sebesar 84,48%. Rata-rata performa pada 10-
Fold Cross Validation yang diberikan oleh Confusion Matrix dengan nilai accuracy
sebesar 78,00%, precision 73,73%, dan recall 81,09%, serta memperoleh hasil data
yang di klasifikasi dengan tepat sejumlah 1.092 data dan 308 data di klasifikasi
tidak tepat.",https://drive.google.com/file/d/1X95ABjen8-KK21xTaeWnPshZ255dLlJs/view?usp=sharing,"twitter, merdeka belajar, analisis sentimen, multivariate bernoulli,
tf-idf, confusion matrix."
rinaldi nur fahadaena,penerapan analytic hierarchy process (ahp) pada sistem pendukung keputusan penerima bantuan pangan non tunai (bpnt),2023,"Indonesia adalah salah satu negara yang berkembang, sebagian besar dari
penduduknya bergantung pada pertanian yang menjadi sumber penghidupan.
Namun, banyaknya masyarakat yang masih kesulitan untuk mencukupi kebutuhan
hidupnya. Program Bantuan Pangan Non Tunai (BPNT) merupakan kategori
bantuan sosial pangan yang didistribusikan oleh otoritas publik dalam struktur
nontunai kepada pihak Keluarga Penerima Manfaat (KPM) yang mempunyai Kartu
Keluarga Sejahtera (KKS) melalui sistem pencatatan elektronik. Sistem Pendukung
Keputusan merupakan suatu sistem berbasis komputer yang ditujukan untuk
membantu pengambil keputusan dalam memanfaatkan data dan model tertentu
untuk memecahkan berbagai persoalan yang tidak terstruktur. Analytical Hierarchy
Process (AHP) merupakan teknik yang mampu membantu dalam mengevaluasi
kriteria dan alternatif untuk proses pengambilan keputusan secara kompleks. Oleh
karena itu, penggunaan metode AHP dalam proses pemilihan calon penerima
bantuan BPNT dapat membantu dalam menentukan prioritas kriteria dan alternatif
yang ada, sehingga proses pengambilan keputusan menjadi lebih mudah dan tepat.",https://drive.google.com/file/d/1ZGudWoBu5BkhtWDwBRk0MuCQpxFY8uC4/view?usp=sharing,"bpnt, sistem pendukung keputusan, analytical hierarchy process
(ahp)."
muhammad ivan fariz,optimasi metode multinomial naïve bayes dengan menggunakan metode levenshtein distance pada ulasan aplikasi kai access,2023,"KAI Access merupakan aplikasi untuk mempermudah pengguna dalam
mengakses layanan dan informasi terkait tiket perjalanan kereta api. KAI Access
memiliki fitur ulasan beraneka ragam yang merupakan wadah bagi pengguna untuk
memberikan feedback. Pada penelitian ini akan dilakukan analisis sentimen
terhadap data ulasan KAI Access sejumlah 8713 data ulasan. Metode yang
digunakan yaitu multinomial naïve bayes dan metode levenshtein distance. Dari
kombinasi metode tersebut diharapkan dapat meningkatkan hasil klasifikasi.
Seluruh data akan dilakukan pemodelan menggunakan metode K Fold Cross
Validation dengan nilai k=2,3,4,5,6,7,8,9 dan 10. Berdasarkan hasil pengujian
menggunakan multinomial naïve bayes diperoleh nilai tertinggi yaitu accuracy
sebesar 92%, tingkat precision sebesar 60% dan tingkat recall sebesar 45%.
Sedangkan kombinasi metode multinomial naïve bayes-levesnhtein distance
mengalami peningkatan pada pengujian K-ke 9 yang awalnya menggunakan
multinomial naïve bayes saja mendapatkan nilai accuracy 83%, precision 59% dan
recall 44%, kemudian meningkat ketika menggunakan kombinasi metode
levenshtein distance sebesar accuracy 84%, precision 60% dan recall 46%. Proses
pengujian yang telah dilakukan dapat disimpulkan bahwa optimasi multinomial
naïve bayes menggunakan levenshtein distance meningkatkan hasil accuracy,
precision dan recall sebesar 1-2%.",https://drive.google.com/file/d/1NACfNq2AWw180Xfw3r_KXl_ldIcTQv_D/view?usp=sharing,"kai access, analisis sentimen, multinomial naïve bayes,
levenshtein distance."
m. rifqi febriand ,penerapan algoritma id3 dalam metode forward chaining  untuk mendiagnosa penyakit bawang merah,2023,"Bawang merah adalah salah satu produk ekspor yang dikembangkan di Indonesia
karena memiliki nilai jual yang tinggi di pasar internasional. Namun, sepanjang
tahun 2021 hingga Januari 2022 tidak ada ekspor bawang merah akibat
berkurangnya stok. Berkurangnya stok bawang merah, salah satunya diakibatkan
oleh gagal panen. Salah satu penyebab gagal panen yaitu penanganan hama dan
penyakit yang kurang maksimal dikarenakan kurangnya pengetahuan petani.
Pemanfaatan teknologi informasi tentunya sangat dibutuhkan, salah satunya dengan
pemanfaatan sistem pakar untuk dapat melakukan diagnosa dini penyakit dari
bawang merah. Dalam penelitian ini telah dibangun sistem pakar diagnosa penyakit
tanaman bawang merah dengan mengimplementasikan algoritma Iterative
Dichotomiser 3 (ID3) untuk pembentukan pohon keputusan dalam metode Forward
Chaining dengan akurasi yang didapatkan pada pengujian perbandingan dengan
pakar tanaman bawang dan pengujian K-Fold Cross Validation yaitu sebesar
98,67%.",https://drive.google.com/file/d/17Xd_LdD3Q1fL7AY63QCGtL2G-om1ulWf/view?usp=sharing,"bawang merah, sistem pakar, iterative dichotomiser 3, forward
chaining."
afrian piesca firmanda,analisis user experience pada website buildwith angga menggunakan metode cognitive walkthrough,2023,"Saat ini user experience (UX) dianggap sebagai faktor kunci keberhasilan hampir
semua produk. Untuk itu diperlukannya penilaian atau evaluasi pada usability pada
Website yang akan diteliti yaitu BuildWith Angga, salah satunya dengan
menggunakan metode iCognitive Walkthrough. Cognitive Walkthrough merupakan
metode evaluasi yang berbasis teori tentang kegunaan dalam antarmuka. Metode
ini berkonsentrasi pada kemudahan belajar dengan eksplorasi, dimana pengguna
atau responden mencoba melakukan skenario tugas dengan teknik coba - coba.
Responden pada analisis usability website BuildWith Angga sejumlah 10
responden yang dibagi menjadi 2 jenis, yaitu yang pernah membeli kelas premium
BuildWith Angga dan yang belum pernah membeli dan mencoba website
BuildWith Angga. Hasil Pengujian ini menunjukkan bahwa tingkat efektivitas
memiliki nilai rata - rata 98,09% dan efisiensi memiliki nilai rata - rata 64,45%.
Rekomendasi perbaikan pada situs web BuildWith Angga yaitu perbaikan pada
Pengoptimalan kecepatan saat membuka laman website buildwithangga.com di
halaman dashboard, Penggunaan bahasa ada laman web memakai 1 bahasa agar
lebih konsisten, dan tombol all roadmap yaitu pewarnaan pada shape lebih kontras
serta posisinya diubah secara presisi.",https://drive.google.com/file/d/1Lxnob0NIIgVmg1IjhVLmtQOz8bPPV9eX/view?usp=sharing,"buildwith angga, user experience, usability, cognitive walkthrough."
arief fajar gemilang ,rancang bangun sistem informasi pengiriman barang  study kasus pada pt. sharp electornics indonesia bagian logistik,2023,"Unit Logistik pada Supply chain management (SCM) merupakan salah satu
unit yang ada pada PT. Sharp Electronics Indonesia yang bertugas mendistribusikan
produk ke konsumen atau dealer yang tersebar di seluruh Indonesia. Dalam proses
pengiriman masih terdapat kekurangan yaitu terlambatnya informasi pengiriman,
terhambatnya proses penghitungan penjualan, terlambat pengiriman, keterbatasan
informasi ketersediaan armada pengiriman dari transporter. Untuk itu dibutuhkan
sistem informasi berbasis Web dan Android agar bisa menyelesaikan permasalahan
yang ada. Sistem informasi ini melibatkan admin logistik, admin mitra, kurir.
Admin logistik akan memberikan informasi kepada admin mitra akan kebutuhan
angkutan yang diperlukan. Admin mitra melihat tersediaan angkutan sesuai yang
dibutuhkan dan menugaskan kurir menuju gudang logistik. Seletah barang
diangkut, kurir akan mengantar barang menuju konsumen atau dealer yang sudah
ditentukan. Admin logistik dapat melihat posisi terbaru kurir secara berkala. Kurir
akan mengirim notifikasi pada saat barang sedang di bongkar, barang sudah sampai,
sehingga admin logistik bisa mengetahui status barang dengan tepat.",https://drive.google.com/file/d/1FWb49tsNVCiJnKvNECoeJ0dzjXFXnkIv/view?usp=sharing,"pengiriman barang, flutter, metode prototipe."
subur hariyanto,"implementasi k-nearest neighbor untuk prediksi  keterlambatan pembayaran sumbangan pembinaan 
pendidikan sekolah (studi kasus smk nahdlatuth thalabah)",2023,"Mengaplikasikan metode K-Nearest Neighbor (KNN) dilakukan dengan
harapan dapat memprediksi adanya keterlambatan dalam pembayaran SPP. Adanya
system tersebut sebagai jalan alternative apabila terjadi berbagai problema lain
terkait keterlambatan pembayaran untuk sekolah. Maka pihak sekolah perlu
memperoleh berbagai informasi terkait prediksi keterlambatan pembayaran SPP
sehingga dapat mengambil tindakan alternative berbentuk pembinaan siswa-siswi
atau orang tua yang diprediksi akan mengalami keterlambatan dalam pembayaran
SPP. Rumusan masalah penalitian ini adalah Bagaimana cara untuk memprediksi
keterlambatan Pembayaran Sumbangan Pembinaan Pendidikan (SPP) pada SMK
Nahdlatuth Thalabah menggunakan Metode K-Nearest Neighbor (KNN)? dengan
tujuan untuk memprediksi keterlambatan Pembayaran Sumbangan Pembinaan
Pendidikan (SPP) pada SMK Nahdlatuth Thalabah menerapkan Metode K-Nearest
Neighbor (KNN). Metode penelitian ini K-Nearest Neighbor terfokus sebab berdasarkan
permasalahan yang terjadi dilapangan, tahap yang digunakan study literature yakni
mengumpulkan berbagai bahan sebagai refrensi perihal system sebuah prediksi
tentang keterlambatan pembayaran SPP sekolah dengan menggunakan
pengumpulan data observasi, wawancara dan studi pustaka.
Hasil Penelitian ini adalah dengan adanya aplikasi kedepannya para Staff
menjadi lebih cepat dalam input data, serta memproses klasifikasi keterlambatan
pembayaran SPP. Menggunakan metode K-Nearest Neighbor dalam aplikasi
keterlambatan pembayaran SPP ini untuk menghindari terjadinya kesalahan dalam
menentukan siswa keterlambatan pembayaran SPP. Dari hasil test Confusion
Matrix, maka diperoleh jumlah True Negative sebanyak 11, dan False Positive
sebanyak 2. Hasil True Positive sebanyak 12, dan False Negative sebanyak 5. Maka
tingkat akurasi yang diperoleh menggunakan Algoritma K-Nearest Neighbor
sebesar 76,66%. Kata Kunci : K-Nearest Neighbor, Prediksi Keterlambatan Pembayaran
Sumbangan Pembinaan Pendidikan Sekolah (SPP), SMK Nahdlatuth Thalabah.",https://drive.google.com/file/d/1vKpwxmhoftt-PO1Ns9uKuUP2sr-zmeAt/view?usp=sharing,"k-nearest neighbor, prediksi keterlambatan pembayaran
sumbangan pembinaan pendidikan sekolah (spp), smk nahdlatuth thalabah."
ardi febi hasianto,"pengembangan aplikasi manajemen tugas berbasis  learning model system (lms) moodle terhadap hasil belahar 
di smp negeri 1 ajung kabupaten jember",2023,"Kemajuan teknologi informasi dan komunikasi sangat pesat di era reformasi
industri 4.0. No Peraturan Pemerintah Selain itu, pembuatan sistem informasi
pendidikan berbasis teknologi dan informasi disebutkan dalam pasal 48 dan 59
tahun 2010. Perangkat lunak yang dikenal sebagai sistem manajemen
pembelajaran, atau LMS, mampu memvirtualisasikan proses belajar mengajar di
kelas atau program pelatihan Moodle yang dikembangkan oleh Martin
Dougiamas, sesuai dengan Prakoso (dalam Wulandari, 2008), merupakan
perangkat lunak yang berguna untuk membuat dan menyelenggarakan kursus,
pelatihan, dan pendidikan secara online. Moodle digunakan untuk membuat
sistem dan prosedur pembelajaran berbasis komputer dan gadget. Dengan
menggunakan jaringan internet, Anda dapat mengakses hasil pengembangan
Moodle. Populasi dan sampel dalam penelitian ini adalah siswa-siswa SMPN 1
Ajung Jember Tahun Ajaran 2022/2023 sejumlah 680 orang. Bahwa E-learning
berbasis moodle sebagai alternatif media pembelajaran berbasis internet di SMP
Negeri 1 Ajung sudah baik dan layak digunakan. Dilihat dari aspek desain
pembelajaran, menurut guru dan siswa secara keseluruhan dihasilkan sebesar 89%
dari guru dan 82,13% dari siswa. Aspek komunikasi visual, 87,35% dari guru dan
80,3% dari siswa. Menurut penilaian dari ahli, e-learning ini sudah layak
digunakan dan ahli menyarankan agar pengurangan bentuk animasi tambahan di
halaman depan portal e-learning karena dinilai mengganggu, kemudian ahli juga
menyarankan pada pengeditan pada topik materi pembelajaran yang nantinya akan
diberikan kepada siswa. Produk e-learning ini dikatakan layak, karena sesuai
dengan teori yang telah dikemukakan dan kerangka berfikir yang ada yaitu dari
mulai desain pengembangan, produksi, sampai tahap uji coba.",https://drive.google.com/file/d/1SKhwhNRHxkR9KS5Pb0eT109pTXEwBIg9/view?usp=sharing,"media e- learning, lms moodle, hasil belajar."
masita erfina hadi,klasifikasi gaya belajar menggunakan algoritma c5.0,2023,"Mempelajari gaya belajar pada setiap siswa merupakan salah satu cara terbaik untuk
memaksimalkan proses belajar. Apabila siswa telah mengetahui gaya belajar dan
metode terbaik untuk membantu belajarnya, hal tersebut akan meningkatkan hasil
belajar siswa dalam memahami sesuatu. Terdapat 3 tipe dalam gaya belajar yaitu
Visual, Auditori dan Kinestetik. Pelajar visual belajar melalui apa yang mereka lihat, auditori, mengandalkan kesuksesan belajarnya melalui telinga dan Kinestetik belajar
lewat gerak dan menyentuh. Ditemukan masalah bahwa siswa kelas 7 SMPN 2
Jember memiliki gaya belajar siswa yang berbeda-beda, terdapat beberapa siswa yang
kurang berkonsentrasi saat pelajaran berlangsung dan ada siswa yang juga kesulitan
mengerjakan latihan, sehingga hal tersebut membuat siswa belum dapat
memaksimalkan dalam proses belajar. Adapun algoritma yang digunakan untuk
menganalisa dan mengolah data, yaitu algoritma C5.0. Dengan mengimplementasikan
Algoritma C5.0, dimungkinkan untuk membantu mengelomppokkan gaya belajar
dominan dengan mudah. Berdasarkan 5 kali pengujian untuk gaya belajar siswa
SMPN 2 Jember dengan rapid miner menggunakan metode decision tree C5.0, diperoleh akurasi terbesar sebesar 66,92%, presisi 61,91% dan recall 56,84% dengan
menggunakan confusion matrix.",https://drive.google.com/file/d/1-hCNGLRL9bWJC98AwLSyajz78X5uNwNe/view?usp=sharing,"gaya belajar, data mining, algoritma c5.0, decision tree, confusion
matrix."
